lumen_inlet lumen_outlet lumen_wall 
-1.11089E2 1.110892E2 0.00000000 
-1.12319E2 1.123194E2 0.00000000 
-1.13500E2 1.135007E2 0.00000000 
-1.14632E2 1.146321E2 0.00000000 
-1.15712E2 1.157123E2 0.00000000 
-1.16740E2 1.167403E2 0.00000000 
-1.17715E2 1.177151E2 0.00000000 
-1.18635E2 1.186358E2 0.00000000 
-1.19501E2 1.195013E2 0.00000000 
-1.20311E2 1.203110E2 0.00000000 
-1.21063E2 1.210639E2 0.00000000 
-1.21759E2 1.217594E2 0.00000000 
-1.22396E2 1.223967E2 0.00000000 
-1.22975E2 1.229752E2 0.00000000 
-1.23494E2 1.234944E2 0.00000000 
-1.23953E2 1.239537E2 0.00000000 
-1.24352E2 1.243527E2 0.00000000 
-1.24691E2 1.246910E2 0.00000000 
-1.24968E2 1.249682E2 0.00000000 
-1.25184E2 1.251841E2 0.00000000 
-1.25338E2 1.253385E2 0.00000000 
-1.25431E2 1.254311E2 0.00000000 
-1.25462E2 1.254621E2 0.00000000 
-1.25431E2 1.254311E2 0.00000000 
-1.25338E2 1.253385E2 0.00000000 
-1.25184E2 1.251841E2 0.00000000 
-1.24968E2 1.249682E2 0.00000000 
-1.24691E2 1.246910E2 0.00000000 
-1.24352E2 1.243527E2 0.00000000 
-1.23953E2 1.239537E2 0.00000000 
-1.23494E2 1.234944E2 0.00000000 
-1.22975E2 1.229752E2 0.00000000 
-1.22396E2 1.223967E2 0.00000000 
-1.21759E2 1.217594E2 0.00000000 
-1.21063E2 1.210639E2 0.00000000 
-1.20311E2 1.203110E2 0.00000000 
-1.19501E2 1.195013E2 0.00000000 
-1.18635E2 1.186358E2 0.00000000 
-1.17715E2 1.177151E2 0.00000000 
-1.16740E2 1.167403E2 0.00000000 
-1.15712E2 1.157123E2 0.00000000 
-1.14632E2 1.146321E2 0.00000000 
-1.13500E2 1.135007E2 0.00000000 
-1.12319E2 1.123194E2 0.00000000 
-1.11089E2 1.110892E2 0.00000000 
-1.09811E2 1.098114E2 0.00000000 
-1.08487E2 1.084873E2 0.00000000 
-1.07118E2 1.071181E2 0.00000000 
-1.05705E2 1.057052E2 0.00000000 
-1.04249E2 1.042499E2 0.00000000 
-1.02753E2 1.027538E2 0.00000000 
-1.01218E2 1.012183E2 0.00000000 
-9.96449E1 9.964498E1 0.00000000 
-9.80352E1 9.803527E1 0.00000000 
-9.63908E1 9.639081E1 0.00000000 
-9.47132E1 9.471324E1 0.00000000 
-9.30042E1 9.300420E1 0.00000000 
-9.12653E1 9.126538E1 0.00000000 
-8.94985E1 8.949851E1 0.00000000 
-8.77053E1 8.770532E1 0.00000000 
-8.58875E1 8.588758E1 0.00000000 
-8.40470E1 8.404709E1 0.00000000 
-8.21856E1 8.218566E1 0.00000000 
-8.03051E1 8.030513E1 0.00000000 
-7.84073E1 7.840736E1 0.00000000 
-7.64942E1 7.649422E1 0.00000000 
-7.45675E1 7.456759E1 0.00000000 
-7.26293E1 7.262938E1 0.00000000 
-7.06815E1 7.068150E1 0.00000000 
-6.87258E1 6.872588E1 0.00000000 
-6.67644E1 6.676444E1 0.00000000 
-6.47991E1 6.479911E1 0.00000000 
-6.28318E1 6.283185E1 0.00000000 
-6.08645E1 6.086458E1 0.00000000 
-5.88992E1 5.889926E1 0.00000000 
-5.69378E1 5.693782E1 0.00000000 
-5.49821E1 5.498219E1 0.00000000 
-5.30343E1 5.303432E1 0.00000000 
-5.10961E1 5.109611E1 0.00000000 
-4.91694E1 4.916948E1 0.00000000 
-4.72563E1 4.725634E1 0.00000000 
-4.53585E1 4.535856E1 0.00000000 
-4.34780E1 4.347804E1 0.00000000 
-4.16166E1 4.161661E1 0.00000000 
-3.97761E1 3.977612E1 0.00000000 
-3.79583E1 3.795838E1 0.00000000 
-3.61651E1 3.616519E1 0.00000000 
-3.43983E1 3.439831E1 0.00000000 
-3.26595E1 3.265950E1 0.00000000 
-3.09504E1 3.095046E1 0.00000000 
-2.92728E1 2.927289E1 0.00000000 
-2.76284E1 2.762843E1 0.00000000 
-2.60187E1 2.601871E1 0.00000000 
-2.44453E1 2.444533E1 0.00000000 
-2.29098E1 2.290982E1 0.00000000 
-2.14137E1 2.141372E1 0.00000000 
-1.99584E1 1.995849E1 0.00000000 
-1.85455E1 1.854557E1 0.00000000 
-1.71763E1 1.717636E1 0.00000000 
-1.58522E1 1.585221E1 0.00000000 
-1.45744E1 1.457441E1 0.00000000 
-1.33442E1 1.334424E1 0.00000000 
-1.21629E1 1.216291E1 0.00000000 
-1.10315E1 1.103159E1 0.00000000 
-9.9513842 9.95138426 0.00000000 
-8.9233642 8.92336422 0.00000000 
-7.9485454 7.94854545 0.00000000 
-7.0278901 7.02789012 0.00000000 
-6.1623069 6.16230692 0.00000000 
-5.3526501 5.35265010 0.00000000 
-4.5997186 4.59971867 0.00000000 
-3.9042556 3.90425560 0.00000000 
-3.2669471 3.26694710 0.00000000 
-2.6884219 2.68842195 0.00000000 
-2.1692509 2.16925094 0.00000000 
-1.7099463 1.70994632 0.00000000 
-1.3109613 1.31096131 0.00000000 
-9.7268E-1 9.72689E-1 0.00000000 
-6.9546E-1 6.95465E-1 0.00000000 
-4.7956E-1 4.79561E-1 0.00000000 
-3.2519E-1 3.25192E-1 0.00000000 
-2.3251E-1 2.32510E-1 0.00000000 
-2.0160E-1 2.01605E-1 0.00000000 
-2.3251E-1 2.32510E-1 0.00000000 
-3.2519E-1 3.25192E-1 0.00000000 
-4.7956E-1 4.79562E-1 0.00000000 
-6.9546E-1 6.95465E-1 0.00000000 
-9.7268E-1 9.72689E-1 0.00000000 
-1.3109613 1.31096132 0.00000000 
-1.7099462 1.70994629 0.00000000 
-2.1692508 2.16925088 0.00000000 
-2.6884218 2.68842187 0.00000000 
-3.2669470 3.26694702 0.00000000 
-3.9042555 3.90425555 0.00000000 
-4.5997186 4.59971865 0.00000000 
-5.3526501 5.35265012 0.00000000 
-6.1623069 6.16230698 0.00000000 
-7.0278902 7.02789021 0.00000000 
-7.9485455 7.94854553 0.00000000 
-8.9233642 8.92336428 0.00000000 
-9.9513842 9.95138428 0.00000000 
-1.10315E1 1.103159E1 0.00000000 
-1.21629E1 1.216291E1 0.00000000 
-1.33442E1 1.334424E1 0.00000000 
-1.45744E1 1.457441E1 0.00000000 
-1.58522E1 1.585221E1 0.00000000 
-1.71763E1 1.717636E1 0.00000000 
-1.85455E1 1.854557E1 0.00000000 
-1.99584E1 1.995849E1 0.00000000 
-2.14137E1 2.141372E1 0.00000000 
-2.29098E1 2.290983E1 0.00000000 
-2.44453E1 2.444533E1 0.00000000 
-2.60187E1 2.601871E1 0.00000000 
-2.76284E1 2.762843E1 0.00000000 
-2.92728E1 2.927289E1 0.00000000 
-3.09504E1 3.095046E1 0.00000000 
-3.26595E1 3.265950E1 0.00000000 
-3.43983E1 3.439831E1 0.00000000 
-3.61651E1 3.616519E1 0.00000000 
-3.79583E1 3.795838E1 0.00000000 
-3.97761E1 3.977612E1 0.00000000 
-4.16166E1 4.161661E1 0.00000000 
-4.34780E1 4.347804E1 0.00000000 
-4.53585E1 4.535856E1 0.00000000 
-4.72563E1 4.725634E1 0.00000000 
-4.91694E1 4.916948E1 0.00000000 
-5.10961E1 5.109611E1 0.00000000 
-5.30343E1 5.303431E1 0.00000000 
-5.49821E1 5.498219E1 0.00000000 
-5.69378E1 5.693782E1 0.00000000 
-5.88992E1 5.889926E1 0.00000000 
-6.08645E1 6.086458E1 0.00000000 
-6.28318E1 6.283185E1 0.00000000 
-6.47991E1 6.479911E1 0.00000000 
-6.67644E1 6.676443E1 0.00000000 
-6.87258E1 6.872588E1 0.00000000 
-7.06815E1 7.068150E1 0.00000000 
-7.26293E1 7.262938E1 0.00000000 
-7.45675E1 7.456759E1 0.00000000 
-7.64942E1 7.649422E1 0.00000000 
-7.84073E1 7.840736E1 0.00000000 
-8.03051E1 8.030513E1 0.00000000 
-8.21856E1 8.218566E1 0.00000000 
-8.40470E1 8.404709E1 0.00000000 
-8.58875E1 8.588758E1 0.00000000 
-8.77053E1 8.770532E1 0.00000000 
-8.94985E1 8.949851E1 0.00000000 
-9.12653E1 9.126538E1 0.00000000 
-9.30042E1 9.300420E1 0.00000000 
-9.47132E1 9.471324E1 0.00000000 
-9.63908E1 9.639081E1 0.00000000 
-9.80352E1 9.803527E1 0.00000000 
-9.96449E1 9.964498E1 0.00000000 
-1.01218E2 1.012183E2 0.00000000 
-1.02753E2 1.027538E2 0.00000000 
-1.04249E2 1.042499E2 0.00000000 
-1.05705E2 1.057052E2 0.00000000 
-1.07118E2 1.071181E2 0.00000000 
-1.08487E2 1.084873E2 0.00000000 
-1.09811E2 1.098114E2 0.00000000 
-1.11089E2 1.110892E2 0.00000000 
-1.12319E2 1.123194E2 0.00000000 
-1.13500E2 1.135007E2 0.00000000 
-1.14632E2 1.146321E2 0.00000000 
-1.15712E2 1.157123E2 0.00000000 
-1.16740E2 1.167403E2 0.00000000 
-1.17715E2 1.177151E2 0.00000000 
-1.18635E2 1.186358E2 0.00000000 
-1.19501E2 1.195013E2 0.00000000 
-1.20311E2 1.203110E2 0.00000000 
-1.21063E2 1.210639E2 0.00000000 
-1.21759E2 1.217594E2 0.00000000 
-1.22396E2 1.223967E2 0.00000000 
-1.22975E2 1.229752E2 0.00000000 
-1.23494E2 1.234944E2 0.00000000 
-1.23953E2 1.239537E2 0.00000000 
-1.24352E2 1.243527E2 0.00000000 
-1.24691E2 1.246910E2 0.00000000 
-1.24968E2 1.249682E2 0.00000000 
-1.25184E2 1.251841E2 0.00000000 
-1.25338E2 1.253385E2 0.00000000 
-1.25431E2 1.254311E2 0.00000000 
-1.25462E2 1.254621E2 0.00000000 
-1.25431E2 1.254311E2 0.00000000 
-1.25338E2 1.253385E2 0.00000000 
-1.25184E2 1.251841E2 0.00000000 
-1.24968E2 1.249682E2 0.00000000 
-1.24691E2 1.246910E2 0.00000000 
-1.24352E2 1.243527E2 0.00000000 
-1.23953E2 1.239537E2 0.00000000 
-1.23494E2 1.234944E2 0.00000000 
-1.22975E2 1.229752E2 0.00000000 
-1.22396E2 1.223967E2 0.00000000 
-1.21759E2 1.217594E2 0.00000000 
-1.21063E2 1.210639E2 0.00000000 
-1.20311E2 1.203110E2 0.00000000 
-1.19501E2 1.195013E2 0.00000000 
-1.18635E2 1.186358E2 0.00000000 
-1.17715E2 1.177151E2 0.00000000 
-1.16740E2 1.167403E2 0.00000000 
-1.15712E2 1.157123E2 0.00000000 
-1.14632E2 1.146321E2 0.00000000 
-1.13500E2 1.135007E2 0.00000000 
-1.12319E2 1.123194E2 0.00000000 
-1.11089E2 1.110892E2 0.00000000 
-1.09811E2 1.098114E2 0.00000000 
-1.08487E2 1.084873E2 0.00000000 
-1.07118E2 1.071181E2 0.00000000 
-1.05705E2 1.057052E2 0.00000000 
-1.04249E2 1.042499E2 0.00000000 
-1.02753E2 1.027538E2 0.00000000 
-1.01218E2 1.012183E2 0.00000000 
-9.96449E1 9.964498E1 0.00000000 
-9.80352E1 9.803527E1 0.00000000 
-9.63908E1 9.639081E1 0.00000000 
-9.47132E1 9.471324E1 0.00000000 
-9.30042E1 9.300420E1 0.00000000 
-9.12653E1 9.126538E1 0.00000000 
-8.94985E1 8.949851E1 0.00000000 
-8.77053E1 8.770532E1 0.00000000 
-8.58875E1 8.588758E1 0.00000000 
-8.40470E1 8.404709E1 0.00000000 
-8.21856E1 8.218566E1 0.00000000 
-8.03051E1 8.030513E1 0.00000000 
-7.84073E1 7.840736E1 0.00000000 
-7.64942E1 7.649422E1 0.00000000 
-7.45675E1 7.456759E1 0.00000000 
-7.26293E1 7.262938E1 0.00000000 
-7.06815E1 7.068150E1 0.00000000 
-6.87258E1 6.872588E1 0.00000000 
-6.67644E1 6.676444E1 0.00000000 
-6.47991E1 6.479911E1 0.00000000 
-6.28318E1 6.283185E1 0.00000000 
-6.08645E1 6.086458E1 0.00000000 
-5.88992E1 5.889926E1 0.00000000 
-5.69378E1 5.693782E1 0.00000000 
-5.49821E1 5.498219E1 0.00000000 
-5.30343E1 5.303432E1 0.00000000 
-5.10961E1 5.109611E1 0.00000000 
-4.91694E1 4.916948E1 0.00000000 
-4.72563E1 4.725634E1 0.00000000 
-4.53585E1 4.535856E1 0.00000000 
-4.34780E1 4.347804E1 0.00000000 
-4.16166E1 4.161661E1 0.00000000 
-3.97761E1 3.977612E1 0.00000000 
-3.79583E1 3.795838E1 0.00000000 
-3.61651E1 3.616519E1 0.00000000 
-3.43983E1 3.439831E1 0.00000000 
-3.26595E1 3.265950E1 0.00000000 
-3.09504E1 3.095046E1 0.00000000 
-2.92728E1 2.927289E1 0.00000000 
-2.76284E1 2.762843E1 0.00000000 
-2.60187E1 2.601871E1 0.00000000 
-2.44453E1 2.444533E1 0.00000000 
-2.29098E1 2.290982E1 0.00000000 
-2.14137E1 2.141372E1 0.00000000 
-1.99584E1 1.995849E1 0.00000000 
-1.85455E1 1.854557E1 0.00000000 
-1.71763E1 1.717636E1 0.00000000 
-1.58522E1 1.585221E1 0.00000000 
-1.45744E1 1.457441E1 0.00000000 
-1.33442E1 1.334424E1 0.00000000 
-1.21629E1 1.216291E1 0.00000000 
-1.10315E1 1.103159E1 0.00000000 
-9.9513842 9.95138426 0.00000000 
-8.9233642 8.92336422 0.00000000 
-7.9485454 7.94854545 0.00000000 
-7.0278901 7.02789012 0.00000000 
-6.1623069 6.16230692 0.00000000 
-5.3526501 5.35265010 0.00000000 
-4.5997186 4.59971867 0.00000000 
-3.9042556 3.90425561 0.00000000 
-3.2669471 3.26694710 0.00000000 
-2.6884219 2.68842195 0.00000000 
-2.1692509 2.16925094 0.00000000 
-1.7099463 1.70994632 0.00000000 
-1.3109613 1.31096131 0.00000000 
-9.7268E-1 9.72689E-1 0.00000000 
-6.9546E-1 6.95465E-1 0.00000000 
-4.7956E-1 4.79561E-1 0.00000000 
-3.2519E-1 3.25192E-1 0.00000000 
-2.3251E-1 2.32510E-1 0.00000000 
-2.0160E-1 2.01605E-1 0.00000000 
